model_type,order,seasonal_order,folds_used,MAE_mean,RMSE_mean,sMAPE_mean,MASE_mean,AIC_mean,BIC_mean
SARIMAX_panel,"(0, 0, 0)","(0, 0, 0, 12)",5,11241.085291948239,21037.1838614668,3.893701759986752,0.11632111250306518,-642.0583189014483,-588.8554151481774
SARIMAX_panel,"(0, 0, 1)","(0, 0, 0, 12)",5,11063.86238885429,21231.89900380839,3.815735436281474,0.11449521303566886,-671.8166506336128,-615.7933018451006
SARIMAX_panel,"(1, 0, 2)","(0, 0, 0, 12)",5,10506.185745810322,21317.611323519766,3.640355354805007,0.10878248962621598,-716.356205297425,-654.5862608731366
SARIMAX_panel,"(0, 0, 2)","(1, 0, 0, 12)",5,10598.713840050923,21362.91949129069,3.6746837079440366,0.10973853123816568,-668.5971936055989,-608.2343979684626
SARIMAX_panel,"(2, 0, 2)","(0, 0, 0, 12)",5,10648.88405525757,21473.980300634903,3.6331982650592733,0.11023154981865854,-714.4426074620893,-649.7312371128346
SARIMAX_panel,"(0, 0, 2)","(0, 0, 0, 12)",5,10557.55588377124,21560.45204984427,3.653100892293078,0.10928676340318322,-716.1915307016316,-657.3630122023092
SARIMAX_panel,"(1, 0, 0)","(0, 0, 0, 12)",5,11170.54173290639,22846.96533234302,3.8369970806878917,0.11562932019580092,-698.243619651818,-642.0849990233654
SARIMAX_panel,"(1, 0, 1)","(0, 0, 0, 12)",5,11274.043399991824,23006.613387988767,3.8636362120684766,0.11667969035140129,-693.4680887567381,-634.4961426635674
SARIMAX_panel,"(2, 0, 0)","(0, 0, 0, 12)",4,11873.838117654645,27196.508739252833,4.025313421046681,0.12381099421175619,-664.7623142685497,-606.6073205938691
SARIMAX_panel,"(0, 1, 0)","(0, 0, 0, 12)",3,109772.0935149906,168317.4279475936,39.00970770999577,1.1875421983125674,-627.5849942427362,-576.0207174476012
SARIMAX_panel,"(0, 1, 1)","(0, 0, 0, 12)",3,109775.0478378121,168329.14809705355,39.009945797505715,1.1875765934974911,-623.1533103857076,-568.8719175986362
SARIMAX_panel,"(1, 1, 0)","(0, 0, 0, 12)",3,109783.28720122599,168360.53152580207,39.012481771897164,1.1876684823821044,-628.6875361754741,-574.2585773361648
SARIMAX_panel,"(2, 1, 2)","(0, 0, 0, 12)",3,109772.6776478351,168384.6808794243,39.006741088198105,1.1875708995944212,-634.8555519984714,-572.1756242291459
SARIMAX_panel,"(2, 1, 0)","(0, 0, 0, 12)",3,109795.79031997865,168417.74213684673,39.01621473212155,1.1878077906841313,-625.3549713012867,-568.2166631043692
SARIMAX_panel,"(1, 1, 2)","(0, 0, 0, 12)",3,109785.99179640238,168432.60450722353,39.01087775065075,1.1877205175455658,-632.0245755640566,-572.1937354206094
SARIMAX_panel,"(0, 1, 2)","(0, 0, 0, 12)",3,109808.1265592031,168511.19264471595,39.0179013294559,1.1879598302188636,-625.8867693330852,-568.9050168155165
SARIMAX_panel,"(0, 0, 0)","(0, 1, 0, 12)",5,110876.8909026871,172010.41901522403,38.48980369371152,1.164910745336123,-508.998576023436,-457.3982661908025
SARIMAX_panel,"(1, 1, 1)","(0, 0, 0, 12)",3,4.710836205798631e+17,2.711444568042779e+19,39.317795743537516,4911248794223.797,-612.667029910829,-555.5287217139116
