feature_name,perm_imp_mae,std
stl_trend_lag1,83194.85439453126,819.0289267553
stl_trend_lag2,29006.71416015625,375.0149544668332
stl_trend_lag3,9561.36552734375,125.03490534207508
stl_seasonal_lag1,2375.525390625,34.42957475928122
stl_trend_lag4,1975.90146484375,37.15676082378652
LMIQuadrantlag1_4.0,1172.17412109375,80.27701536325908
sdlt_perc_threshold,635.683203125,27.841957181674424
stl_resid_lag1,483.12919921875,17.772698760993173
local_I_lag1,363.664111328125,38.4397651609381
stl_trend_lag5,355.259033203125,26.359238621393416
population,314.44482421875,59.52670661589806
LA_FE,196.1302734375,6.060254413753413
stl_seasonal_lag2,168.837158203125,10.12766845825275
LA_embed_4,163.63212890625,9.923164486211551
stl_trend_lag6,156.644677734375,14.071420959578829
LA_embed_3,123.651513671875,20.855159454195697
LA_embed_1,56.96708984375,8.336944319638963
stl_resid_lag2,56.626708984375,2.02728699768248
stl_trend_lag12,37.995556640625,7.569833369726587
Region_South East,26.44365234375,3.04694183432808
CPIH,16.745458984375,3.0220894900142263
stl_seasonal_lag4,14.677099609375,2.988940046307705
dwelling_stock_per_1000,13.452783203125,11.439051388548993
claimant_count_prop,8.601904296875,4.135739835736215
stl_seasonal_lag5,6.220556640625,2.5501621405159094
LA_embed_2,5.983740234375,7.739021896819564
stl_resid_lag5,5.629345703125,2.269873393494055
centroid_y,4.16884765625,5.0080284836205875
area_km2,3.336279296875,2.8272449203129852
stl_seasonal_lag6,3.31650390625,1.2977193230280861
stl_resid_lag6,2.27646484375,1.2270753757669985
LA_embed_0,2.1875,4.127997199599107
planning_granted_prop,1.816015625,12.123993823589489
stl_resid_lag24,0.82099609375,1.299315217199287
Region_East of England,0.780419921875,0.19966775596567762
stl_resid_lag4,0.695751953125,1.6877199163896037
Region_West Midlands,0.319140625,0.21365652081487882
Region_London,0.17587890625,0.3903496832503173
Region_North West,0.080615234375,0.10488514249405068
Region_North East,0.06181640625,0.018994328907325168
base_rate,0.0,0.0
Region_Yorkshire and The Humber,-0.076611328125,0.027337166129795833
LMIQuadrantlag1_2.0,-0.18193359375,0.10286480996151195
Region_South West,-0.36142578125,0.08808106537939434
LMIQuadrantlag1_3.0,-0.442919921875,0.14801711938410306
GDP,-1.144775390625,0.19131022010100243
planning_decisions_per_1000,-2.603662109375,5.164573120403565
stl_resid_lag12,-2.763623046875,1.599488827141974
stl_seasonal_lag24,-3.687646484375,1.4188195072910301
stl_seasonal_lag12,-5.52900390625,1.5348958454147181
stl_trend_lag24,-6.133740234375,3.1867416111677156
stl_resid_lag3,-6.857666015625,1.3719220172932447
ashe_weekly,-12.0759765625,5.7339890818443715
stl_seasonal_lag3,-13.118115234375,2.244107918098426
AvgNeighbourPrice_lag1,-13.615087890625,1.1448557537538206
CoL_distance_km,-14.374755859375,1.1914967036695903
centroid_x,-25.632568359375,3.1311275317366
rail_station_entry_exit,-28.7001953125,4.472162248408082
