timestep_in_window,perm_imp_mae,std
9,34.4921875,7.076672726288817
8,31.435156250001455,7.162718231977517
6,26.24921875000291,2.202500742675102
7,23.91328125000291,4.134215558150059
5,15.31718749999709,4.545219844792988
4,12.65312499999709,4.037958776905032
3,11.62109375,2.1109441501560684
10,8.92109375000291,5.382578573472883
2,7.923437500001455,4.906427644076951
1,5.57421875,3.9607679944006757
0,2.7312499999970896,3.621252103468495
11,-39.053124999998545,11.14933466957642
12,-105.32187500000146,12.936450176306579
13,-207.78359374999854,15.24647408169601
14,-404.0078125,16.26971122724582
15,-648.1328125,20.72499243134474
16,-986.7664062499971,35.67460554047865
17,-1256.4749999999985,16.17716712171771
