feature,perm_imp_mae,std,baseline_mae
price_lag1,40579.142578125,212.69767936584824,32056.716796875
LA_FE,20220.155859375,118.08225922570949,32056.716796875
price_lag12,13936.449609374999,164.41479665062394,32056.716796875
AvgNeighbourPrice_lag1,3518.458984375,68.75455049748582,32056.716796875
LA_embed_0,3069.8988281249985,61.284635834403616,32056.716796875
centroid_y,2660.458984375,56.743597723164854,32056.716796875
population,1321.0003906249985,35.75470764322292,32056.716796875
sdlt_perc_threshold,962.4949218749971,42.40425921946016,32056.716796875
Region_North East,891.5066406249971,20.43236185889464,32056.716796875
Region_Yorkshire and The Humber,677.4957031250015,16.745462168446213,32056.716796875
LMIQuadrantlag1_4.0,539.7980468749993,38.15171126581042,32056.716796875
planning_decisions_per_1000,535.6953125,15.441209552804253,32056.716796875
centroid_x,532.9621093749993,11.565976607289636,32056.716796875
area_km2,497.212890625,11.445406689565504,32056.716796875
rail_station_entry_exit,311.95742187499854,6.901472183406947,32056.716796875
Region_South West,220.12460937500146,21.438133311356385,32056.716796875
LA_embed_1,191.44609375000073,20.727735284149247,32056.716796875
LA_embed_2,184.72929687500073,27.9629835023035,32056.716796875
LMIQuadrantlag1_2.0,169.38203124999927,7.687899903851547,32056.716796875
base_rate,46.001953125,2.1248387892663985,32056.716796875
local_I_lag1,34.888281250001455,12.906954583616352,32056.716796875
planning_granted_prop,34.091406250001455,18.336756986973363,32056.716796875
GDP,0.11953124999854481,0.33777070668275655,32056.716796875
CPIH,-1.1156249999985448,3.8985671321132522,32056.716796875
LA_embed_3,-6.432031249998545,17.476462154313506,32056.716796875
Region_West Midlands,-11.767578125,12.462422031476265,32056.716796875
dwelling_stock_per_1000,-37.974218750001455,4.5124996618550774,32056.716796875
Region_London,-112.41328124999927,19.132369656280186,32056.716796875
LA_embed_4,-172.30312499999854,20.560330017053623,32056.716796875
Region_East of England,-377.32187500000146,11.555715149323502,32056.716796875
LMIQuadrantlag1_3.0,-399.14492187499854,9.852224573187893,32056.716796875
claimant_count_prop,-413.4308593749993,10.945638754840434,32056.716796875
ashe_weekly,-524.6789062499993,39.34446404376495,32056.716796875
CoL_distance_km,-549.048828125,10.140558265501715,32056.716796875
Region_South East,-624.673828125,38.26677676017777,32056.716796875
Region_North West,-660.0613281250007,18.7042400428634,32056.716796875
