model_type,lag_set,params,folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",5,12330.31812,2155.347566,18680.56815,1420.482994,4.464585461,1.226209576,0.929699045,0.163353857
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}",5,12255.09385,2133.064486,18683.9124,1417.879757,4.43616847,1.215384367,0.923921587,0.161083187
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 250}",5,12393.70762,2176.755843,18728.40837,1512.127718,4.472150321,1.227503811,0.934557863,0.165487722
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}",5,12396.26216,2102.504322,18759.75516,1492.259246,4.493563531,1.207480159,0.934856012,0.160688908
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",5,12402.88653,2137.186116,18778.9175,1525.463314,4.494556089,1.215046919,0.935280149,0.162820243
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 250}",5,12379.19263,2097.747697,18830.96593,1358.686887,4.480087886,1.206930543,0.93363734,0.160517062
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",5,12379.8324,2080.116762,19085.05936,1601.522213,4.466963658,1.183712331,0.93362842,0.158886913
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",5,12379.8324,2080.116762,19085.05936,1601.522213,4.466963658,1.183712331,0.93362842,0.158886913
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",5,12384.23401,2069.804111,19124.50644,1612.164484,4.470429518,1.183398491,0.933981694,0.158311328
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",5,12384.23401,2069.804111,19124.50644,1612.164484,4.470429518,1.183398491,0.933981694,0.158311328
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 250}",5,12381.39987,2114.553971,19127.87029,1819.170519,4.473330195,1.192590767,0.933751213,0.161410434
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 250}",5,12381.39987,2114.553971,19127.87029,1819.170519,4.473330195,1.192590767,0.933751213,0.161410434
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 250}",5,12447.44758,2073.777569,19285.90564,1688.789145,4.48390976,1.189471118,0.938825709,0.159029684
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 250}",5,12447.44758,2073.777569,19285.90564,1688.789145,4.48390976,1.189471118,0.938825709,0.159029684
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",5,13220.99389,2543.732361,19432.61814,1624.531603,4.788444805,1.408042718,0.996880522,0.192552455
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",5,13245.66472,2551.624574,19598.94282,1548.331923,4.799013521,1.397438097,0.998804879,0.193435967
