model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,best_val_MSE_scaled,best_val_RMSE_orig,best_epoch,epochs_run,train_time_sec
TGCN,24,64,0.0,0.001,0.0,0.23746202886104584,64595.00476847707,50,50,8.595754146575928
TGCN,12,64,0.0,0.001,0.0,0.2506178319454193,66360.22225808416,49,50,4.571324348449707
TGCN,24,64,0.0,0.0005,0.0,0.27819666266441345,69916.1983013414,50,50,8.924063205718994
TGCN,12,64,0.0,0.0005,0.0,0.28148937225341797,70328.74196567973,50,50,4.5067620277404785
TGCN,12,64,0.0,0.0005,0.0001,0.28746557235717773,71071.38315364934,50,50,4.485379457473755
TGCN,12,32,0.0,0.001,0.0,0.2876754105091095,71097.31802822795,50,50,4.501971244812012
TGCN,24,64,0.3,0.0005,0.0,0.294845312833786,71977.86519447694,50,50,8.846954345703125
TGCN,12,32,0.3,0.001,0.0,0.2974085211753845,72290.05436507778,50,50,4.870625734329224
TGCN,24,32,0.3,0.001,0.0001,0.3152991831302643,74432.61385213964,50,50,9.721786260604858
TGCN,12,32,0.3,0.0005,0.0001,0.3482797145843506,78228.66835365279,50,50,5.0480797290802
TGCN,12,32,0.0,0.0005,0.0,0.3507075309753418,78500.85619305578,50,50,4.921704053878784
TGCN,24,32,0.3,0.0005,0.0001,0.3607526421546936,79617.14642243827,50,50,9.27632999420166
